"x","y"
"4.212","11.151"
"4.216","13.151"
"4.22","3.1507"
"4.224","1.1507"
"4.228","'-4.8493"
"4.232","'-12.849"
"4.236","'-8.8493"
"4.24","'-16.849"
"4.244","'-24.849"
"4.248","'-46.849"
"4.252","'-26.849"
"4.256","'-44.849"
"4.26","'-42.849"
"4.264","'-16.849"
"4.268","'-6.8493"
"4.272","'-12.849"
"4.276","'-34.849"
"4.28","'-36.849"
"4.284","'-24.849"
"4.288","'-42.849"
"4.292","'-30.849"
"4.296","'-18.849"
"4.3","'-14.849"
"4.304","'-12.849"
"4.308","'-8.8493"
"4.312","'-2.8493"
"4.316","1.1507"
"4.32","'-6.8493"
"4.324","3.1507"
"4.328","'-18.849"
"4.332","'-14.849"
"4.336","19.151"
"4.34","83.151"
"4.344","185.15"
"4.348","325.15"
"4.352","489.15"
"4.356","627.15"
"4.36","719.15"
"4.364","757.15"
"4.368","563.15"
"4.372","193.15"
"4.376","'-112.85"
"4.38","'-348.85"
"4.384","'-404.85"
"4.388","'-332.85"
"4.392","'-236.85"
"4.396","'-176.85"
"4.4","'-150.85"
"4.404","'-154.85"
"4.408","'-134.85"
"4.412","'-136.85"
"4.416","'-110.85"
"4.42","'-120.85"
"4.424","'-100.85"
"4.428","'-84.849"
"4.432","'-60.849"
"4.436","'-74.849"
"4.44","'-62.849"
"4.444","'-76.849"
"4.448","'-78.849"
"4.452","'-42.849"
"4.456","'-46.849"
"4.46","'-34.849"
"4.464","'-42.849"
"4.468","'-10.849"
"4.472","'-32.849"
"4.476","'-32.849"
"4.48","'-24.849"
"4.484","'-18.849"
"4.488","'-14.849"
"4.492","'-28.849"
"4.496","'-12.849"
"4.5","'-20.849"
"4.504","'-14.849"
"4.508","'-16.849"
"4.512","'-8.8493"
"4.516","3.1507"
"4.52","'-6.8493"
"4.524","17.151"
"4.528","3.1507"
"4.532","11.151"
"4.536","19.151"
"4.54","19.151"
"4.544","5.1507"
"4.548","33.151"
"4.552","23.151"
"4.556","13.151"
"4.56","31.151"
"4.564","59.151"
"4.568","49.151"
"4.572","43.151"
"4.576","27.151"
"4.58","61.151"
"4.584","47.151"
"4.588","45.151"
"4.592","49.151"
"4.596","49.151"
"4.6","41.151"
"4.604","45.151"
"4.608","49.151"
"4.612","73.151"
"4.616","47.151"
"4.62","47.151"
"4.624","37.151"
"4.628","31.151"
"4.632","55.151"
"4.636","55.151"
"4.64","65.151"
"4.644","29.151"
"4.648","33.151"
"4.652","1.1507"
"4.656","3.1507"
"4.66","'-8.8493"
"4.664","'-30.849"
"4.668","'-12.849"
"4.672","'-40.849"
"4.676","'-58.849"
"4.68","'-74.849"
"4.684","'-76.849"
"4.688","'-76.849"
"4.692","'-76.849"
"4.696","'-66.849"
"4.7","'-82.849"
"4.704","'-84.849"
"4.708","'-86.849"
"4.712","'-64.849"
"4.716","'-60.849"
"4.72","'-52.849"
"4.724","'-70.849"
"4.728","'-40.849"
"4.732","'-60.849"
"4.736","'-50.849"
"4.74","'-40.849"
"4.744","'-48.849"
"4.748","'-42.849"
"4.752","'-36.849"
"4.756","'-30.849"
"4.76","'-30.849"
"4.764","'-12.849"
"4.768","'-26.849"
"4.772","'-12.849"
"4.776","'-14.849"
"4.78","'-8.8493"
"4.784","'-12.849"
"4.788","'-6.8493"
"4.792","'-24.849"
"4.796","'-8.8493"
"4.8","'-20.849"
"4.804","'-20.849"
"4.808","'-6.8493"
